epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.92131,1.55329,2.88235,1.39017,0.00648,0.62007,0.02622,0.0098,1.80273,3.44676,1.69074,0.000649123,0.000649123,0.000649123
2,16.8109,1.70274,2.59585,1.52981,0.05488,0.05376,0.02052,0.0074,1.97281,3.54758,2.01494,0.00131532,0.00131532,0.00131532
3,24.5423,1.90184,2.71901,1.6687,0.13629,0.15054,0.05654,0.02479,2.19447,3.67642,2.21618,0.00198113,0.00198113,0.00198113
4,32.175,1.9872,2.77566,1.75618,0.19073,0.12545,0.07853,0.03342,2.22085,4.20657,2.24257,0.00199806,0.00199806,0.00199806
5,39.8416,1.92638,2.66787,1.72176,0.16595,0.16846,0.09716,0.0435,2.1162,3.561,2.00608,0.00199746,0.00199746,0.00199746
6,47.5333,1.85652,2.54365,1.67294,0.16453,0.21505,0.07407,0.03352,2.05451,7.88796,1.99151,0.00199685,0.00199685,0.00199685
7,55.1876,1.89175,2.56764,1.69559,0.10936,0.1362,0.05429,0.02335,2.1376,4.17769,1.98364,0.00199625,0.00199625,0.00199625
8,62.875,1.84817,2.46608,1.66699,0.19869,0.21505,0.14295,0.06999,1.93114,2.42979,1.76026,0.00199565,0.00199565,0.00199565
9,70.5425,1.80894,2.43941,1.66092,0.23342,0.19713,0.1214,0.05786,1.88443,2.74777,1.6967,0.00199504,0.00199504,0.00199504
10,78.2074,1.79372,2.36952,1.63158,0.30251,0.28674,0.17934,0.0887,1.83954,2.49505,1.6917,0.00199444,0.00199444,0.00199444
11,86.1079,1.79532,2.39597,1.63402,0.26645,0.2057,0.14852,0.07488,1.8945,2.41566,1.67923,0.00199384,0.00199384,0.00199384
12,93.7618,1.72093,2.30451,1.59136,0.24029,0.24373,0.14785,0.07167,1.90127,3.01929,1.74666,0.00199322,0.00199322,0.00199322
13,101.415,1.71237,2.26616,1.57579,0.32739,0.25448,0.22414,0.11795,1.77566,2.37512,1.61449,0.00199262,0.00199262,0.00199262
14,109.13,1.69546,2.24721,1.56834,0.30917,0.21505,0.18685,0.09899,1.82196,2.46494,1.69635,0.00199202,0.00199202,0.00199202
15,116.763,1.69425,2.2437,1.58249,0.38019,0.25806,0.22419,0.11588,1.78259,2.30848,1.67738,0.00199141,0.00199141,0.00199141
